word\t index\t occurance
<unk>\t 0\t 32537
,\t 1\t 46476
the\t 2\t 39533
.\t 3\t 37452
of\t 4\t 22104
to\t 5\t 21305
a\t 6\t 18469
and\t 7\t 15346
in\t 8\t 14609
's\t 9\t 8872
for\t 10\t 7743
that\t 11\t 7723
$\t 12\t 6762
is\t 13\t 6735
``\t 14\t 6673
The\t 15\t 6578
''\t 16\t 6500
said\t 17\t 5418
on\t 18\t 4905
%\t 19\t 4718
it\t 20\t 4509
by\t 21\t 4274
from\t 22\t 4238
at\t 23\t 4142
million\t 24\t 4122
as\t 25\t 4054
with\t 26\t 3987
Mr.\t 27\t 3856
are\t 28\t 3629
was\t 29\t 3615
be\t 30\t 3584
its\t 31\t 3382
has\t 32\t 3184
n't\t 33\t 3132
an\t 34\t 3015
have\t 35\t 2993
will\t 36\t 2982
he\t 37\t 2496
or\t 38\t 2429
company\t 39\t 2429
which\t 40\t 2164
year\t 41\t 2162
would\t 42\t 2108
--\t 43\t 2005
about\t 44\t 1991
says\t 45\t 1948
they\t 46\t 1904
this\t 47\t 1844
more\t 48\t 1842
were\t 49\t 1776
market\t 50\t 1760
In\t 51\t 1706
billion\t 52\t 1680
But\t 53\t 1668
their\t 54\t 1655
had\t 55\t 1625
up\t 56\t 1625
than\t 57\t 1586
U.S.\t 58\t 1552
but\t 59\t 1552
his\t 60\t 1547
who\t 61\t 1509
been\t 62\t 1500
also\t 63\t 1399
new\t 64\t 1384
share\t 65\t 1358
one\t 66\t 1347
other\t 67\t 1344
:\t 68\t 1292
not\t 69\t 1262
some\t 70\t 1252
I\t 71\t 1188
New\t 72\t 1178
Corp.\t 73\t 1163
years\t 74\t 1130
;\t 75\t 1129
)\t 76\t 1122
shares\t 77\t 1113
(\t 78\t 1109
stock\t 79\t 1103
It\t 80\t 1088
could\t 81\t 1033
Inc.\t 82\t 1018
trading\t 83\t 1018
all\t 84\t 1017
last\t 85\t 1009
two\t 86\t 988
&\t 87\t 977
because\t 88\t 971
out\t 89\t 969
when\t 90\t 936
do\t 91\t 899
only\t 92\t 897
can\t 93\t 896
York\t 94\t 887
into\t 95\t 881
after\t 96\t 873
president\t 97\t 869
A\t 98\t 869
such\t 99\t 860
business\t 100\t 858
Co.\t 101\t 854
over\t 102\t 844
first\t 103\t 829
He\t 104\t 813
sales\t 105\t 805
companies\t 106\t 790
if\t 107\t 787
government\t 108\t 780
