word,index,occurance
<unk>,0,32537
",",1,46476
the,2,39533
.,3,37452
of,4,22104
to,5,21305
a,6,18469
and,7,15346
in,8,14609
's,9,8872
for,10,7743
that,11,7723
$,12,6762
is,13,6735
``,14,6673
The,15,6578
'',16,6500
said,17,5418
on,18,4905
%,19,4718
it,20,4509
by,21,4274
from,22,4238
at,23,4142
million,24,4122
as,25,4054
with,26,3987
Mr.,27,3856
are,28,3629
was,29,3615
be,30,3584
its,31,3382
has,32,3184
n't,33,3132
an,34,3015
have,35,2993
will,36,2982
he,37,2496
or,38,2429
company,39,2429
which,40,2164
year,41,2162
would,42,2108
--,43,2005
about,44,1991
says,45,1948
they,46,1904
this,47,1844
more,48,1842
were,49,1776
market,50,1760
In,51,1706
billion,52,1680
But,53,1668
their,54,1655
had,55,1625
up,56,1625
than,57,1586
U.S.,58,1552
but,59,1552
his,60,1547
who,61,1509
been,62,1500
also,63,1399
new,64,1384
share,65,1358
one,66,1347
other,67,1344
:,68,1292
not,69,1262
some,70,1252
I,71,1188
New,72,1178
Corp.,73,1163
years,74,1130
;,75,1129
),76,1122
shares,77,1113
(,78,1109
stock,79,1103
It,80,1088
could,81,1033
Inc.,82,1018
trading,83,1018
all,84,1017
last,85,1009
two,86,988
&,87,977
because,88,971
out,89,969
when,90,936
do,91,899
only,92,897
can,93,896
York,94,887
into,95,881
after,96,873
president,97,869
A,98,869
such,99,860
business,100,858
Co.,101,854
over,102,844
first,103,829
He,104,813
sales,105,805
companies,106,790
if,107,787
government,108,780
may,109,772
most,110,766
cents,111,745
any,112,727
we,113,725
many,114,720
',115,712
time,116,704
say,117,701
quarter,118,682
there,119,680
prices,120,677
no,121,671
down,122,663
people,123,662
now,124,658
price,125,655
week,126,654
them,127,650
months,128,646
much,129,642
rose,130,636
so,131,611
interest,132,609
group,133,604
investors,134,601
bonds,135,596
1,136,592
make,137,592
even,138,590
next,139,576
American,140,576
earnings,141,566
did,142,563
what,143,562
you,144,561
through,145,558
three,146,558
We,147,538
yesterday,148,536
program,149,535
earlier,150,533
just,151,530
major,152,530
made,153,529
under,154,528
industry,155,524
stocks,156,521
And,157,518
10,158,517
net,159,514
executive,160,514
Japanese,161,511
chief,162,510
investment,163,503
month,164,500
expected,165,500
money,166,500
rate,167,499
unit,168,494
does,169,491
days,170,489
state,171,486
before,172,485
those,173,484
federal,174,483
officials,175,479
off,176,479
30,177,473
like,178,472
while,179,467
plan,180,466
against,181,463
between,182,458
buy,183,457
rates,184,452
issue,185,452
sell,186,449
They,187,448
recent,188,448
since,189,447
still,190,446
For,191,441
own,192,440
financial,193,438
get,194,438
Exchange,195,436
ago,196,436
That,197,433
she,198,431
big,199,431
firm,200,430
Japan,201,430
chairman,202,429
income,203,428
these,204,425
funds,205,425
back,206,420
her,207,414
offer,208,413
profit,209,413
debt,210,412
well,211,411
part,212,409
should,213,405
higher,214,405
bank,215,404
including,216,404
being,217,401
products,218,401
15,219,401
analysts,220,400
securities,221,398
fell,222,395
take,223,392
past,224,386
work,225,384
This,226,384
1988,227,383
If,228,382
way,229,374
House,230,374
reported,231,374
8,232,373
operations,233,371
end,234,370
tax,235,369
lower,236,367
?,237,365
plans,238,363
sold,239,363
markets,240,362
sale,241,362
common,242,362
both,243,362
yen,244,361
yield,245,359
growth,246,359
pay,247,359
during,248,359
very,249,355
each,250,355
bid,251,352
Bank,252,352
use,253,351
less,254,349
loss,255,347
where,256,345
how,257,345
another,258,344
banks,259,344
vice,260,343
cash,261,343
economic,262,343
high,263,340
50,264,340
five,265,339
few,266,339
good,267,338
costs,268,338
average,269,337
increase,270,337
used,271,336
our,272,336
Bush,273,334
due,274,333
current,275,333
issues,276,332
As,277,332
're,278,331
might,279,331
several,280,330
20,281,324
index,282,323
closed,283,322
Stock,284,321
added,285,320
Friday,286,318
At,287,317
then,288,317
Congress,289,317
1989,290,316
least,291,316
early,292,314
National,293,313
number,294,311
spokesman,295,309
2,296,309
director,297,309
British,298,309
September,299,309
day,300,308
case,301,308
concern,302,308
report,303,307
stake,304,307
too,305,307
foreign,306,307
California,307,306
Some,308,306
according,309,306
public,310,305
assets,311,304
far,312,301
Oct.,313,300
trade,314,300
Treasury,315,299
contract,316,298
think,317,297
There,318,297
law,319,297
same,320,297
board,321,297
third,322,295
going,323,295
based,324,294
bill,325,293
officer,326,293
small,327,292
revenue,328,292
already,329,291
close,330,290
exchange,331,289
move,332,289
help,333,288
real,334,287
among,335,287
value,336,286
court,337,285
International,338,283
system,339,283
ended,340,282
agreed,341,282
oil,342,282
late,343,281
him,344,281
insurance,345,280
economy,346,280
1990,347,279
One,348,278
futures,349,277
100,350,276
agency,351,276
agreement,352,275
First,353,272
Board,354,271
period,355,270
operating,356,270
San,357,269
want,358,269
firms,359,267
Federal,360,267
computer,361,266
traders,362,266
capital,363,265
world,364,265
1\/2,365,265
little,366,264
cost,367,262
likely,368,262
until,369,262
called,370,261
1987,371,261
office,372,261
results,373,260
offering,374,260
problems,375,259
former,376,259
Street,377,259
production,378,257
six,379,256
Wall,380,256
long,381,255
increased,382,255
maker,383,254
four,384,254
compared,385,254
see,386,253
country,387,253
management,388,253
policy,389,252
Securities,390,252
second,391,251
analyst,392,251
continue,393,251
whether,394,251
put,395,250
half,396,249
West,397,249
large,398,249
total,399,248
President,400,248
dollar,401,248
bond,402,248
set,403,247
buying,404,247
loans,405,247
notes,406,246
Group,407,246
go,408,246
cut,409,246
point,410,246
Soviet,411,246
around,412,245
without,413,245
general,414,245
losses,415,244
political,416,244
Department,417,244
third-quarter,418,243
corporate,419,243
recently,420,242
fund,421,241
points,422,239
Nov.,423,238
home,424,238
UAL,425,238
largest,426,237
wo,427,236
must,428,236
today,429,236
right,430,235
though,431,235
John,432,234
selling,433,234
announced,434,233
further,435,232
however,436,231
problem,437,229
result,438,229
come,439,228
businesses,440,228
plant,441,227
change,442,227
credit,443,226
declined,444,226
held,445,226
weeks,446,226
making,447,225
When,448,224
become,449,224
